,cluster_id,time,seqlength,coh_cluster
0,7,27.64488,3,1
1,7,27.64488,3,1
2,5,27.64488,2,1
3,7,27.64488,2,1
4,3,27.64488,4,0
5,3,27.64488,3,0
6,1,27.64488,7,1
7,8,27.64488,4,1
8,0,27.64488,2,1
9,6,27.64488,3,0
10,5,27.64488,2,0
11,7,27.64488,4,1
12,6,27.64488,4,1
13,7,27.64488,2,1
14,7,27.64488,2,1
15,3,27.64488,4,1
16,6,27.64488,4,1
17,8,27.64488,2,1
18,1,27.64488,5,1
19,6,27.64488,2,1
20,2,27.64488,3,0
21,1,27.64488,2,0
22,5,27.64488,6,1
23,7,27.64488,2,1
24,6,27.64488,2,1
25,7,27.64488,2,1
26,3,27.64488,4,0
27,2,27.64488,2,0
28,1,27.64488,4,1
29,1,27.64488,4,1
30,7,27.64488,2,0
31,6,27.64488,3,1
32,6,27.64488,2,0
33,6,27.64488,4,0
34,7,27.64488,3,1
35,1,27.64488,2,1
36,1,27.64488,2,1
37,8,27.64488,3,1
38,8,27.64488,5,1
39,8,27.64488,4,1
40,1,27.64488,3,0
41,1,27.64488,2,1
42,8,27.64488,5,1
43,8,27.64488,2,1
44,8,27.64488,2,1
45,8,27.64488,6,1
46,5,27.64488,2,1
47,8,27.64488,2,1
48,7,27.64488,2,1
49,4,27.64488,3,1
50,5,27.64488,3,0
51,7,27.64488,3,1
52,7,27.64488,4,1
53,3,27.64488,3,0
54,1,27.64488,2,1
55,8,27.64488,2,1
56,6,27.64488,6,0
57,3,27.64488,4,0
58,7,27.64488,2,1
59,5,27.64488,2,0
60,2,27.64488,5,0
61,6,27.64488,2,0
62,0,27.64488,2,0
63,7,27.64488,3,0
64,6,27.64488,2,0
65,7,27.64488,2,1
66,7,27.64488,3,1
67,7,27.64488,2,1
68,2,27.64488,3,0
69,2,27.64488,2,0
70,8,27.64488,2,1
71,7,27.64488,3,1
72,3,27.64488,5,0
73,1,27.64488,5,1
74,6,27.64488,2,1
75,7,27.64488,2,0
76,3,27.64488,2,0
77,5,27.64488,4,1
78,6,27.64488,2,0
79,6,27.64488,2,1
80,5,27.64488,2,0
81,8,27.64488,6,1
82,4,27.64488,4,1
83,7,27.64488,2,1
84,8,27.64488,4,1
85,7,27.64488,3,1
86,1,27.64488,5,0
87,8,27.64488,4,1
88,6,27.64488,2,1
89,0,27.64488,6,0
90,6,27.64488,3,0
91,5,27.64488,3,1
92,0,27.64488,2,0
93,6,27.64488,4,1
94,7,27.64488,4,0
95,2,27.64488,6,0
96,5,27.64488,2,0
97,7,27.64488,2,0
98,5,27.64488,2,0
99,2,27.64488,2,0
100,6,27.64488,2,1
101,8,27.64488,2,1
102,7,27.64488,3,1
103,6,27.64488,2,1
104,5,27.64488,3,1
105,2,27.64488,3,0
106,8,27.64488,3,1
107,6,27.64488,4,1
108,1,27.64488,3,1
109,2,27.64488,2,0
110,1,27.64488,2,0
111,2,27.64488,4,0
112,5,27.64488,6,1
113,6,27.64488,7,1
114,5,27.64488,3,1
115,7,27.64488,3,1
116,7,27.64488,3,1
117,2,27.64488,2,0
118,2,27.64488,2,0
119,1,27.64488,7,0
120,6,27.64488,3,1
121,8,27.64488,2,1
122,8,27.64488,4,1
123,6,27.64488,2,0
124,0,27.64488,2,0
125,3,27.64488,3,1
126,7,27.64488,4,1
127,1,27.64488,4,1
128,1,27.64488,3,0
129,6,27.64488,2,1
130,2,27.64488,6,0
131,7,27.64488,3,1
132,8,27.64488,2,1
133,7,27.64488,3,1
134,7,27.64488,2,1
135,1,27.64488,3,1
136,7,27.64488,4,1
137,8,27.64488,4,1
138,7,27.64488,2,0
139,7,27.64488,2,1
140,5,27.64488,4,0
141,2,27.64488,2,0
142,2,27.64488,5,0
143,2,27.64488,4,0
144,8,27.64488,2,1
145,7,27.64488,4,1
146,2,27.64488,2,0
147,5,27.64488,5,1
148,2,27.64488,4,0
149,1,27.64488,3,1
150,2,27.64488,2,0
151,5,27.64488,3,0
152,7,27.64488,2,1
153,2,27.64488,7,0
154,7,27.64488,2,0
155,6,27.64488,2,1
156,1,27.64488,4,1
157,3,27.64488,2,1
158,1,27.64488,3,0
159,6,27.64488,2,1
160,0,27.64488,3,0
161,7,27.64488,2,0
162,6,27.64488,3,1
163,6,27.64488,4,1
164,1,27.64488,5,1
165,5,27.64488,3,1
166,2,27.64488,3,0
167,0,27.64488,3,0
168,2,27.64488,2,0
169,1,27.64488,2,1
170,7,27.64488,2,1
171,7,27.64488,2,0
172,1,27.64488,2,1
173,3,27.64488,2,0
