,cluster_id,time,seqlength,coh_cluster
0,2,276.88902,11,1
1,2,276.88902,14,0
2,2,276.88902,21,0
3,2,276.88902,12,1
4,1,276.88902,18,1
5,2,276.88902,50,1
6,2,276.88902,59,1
7,2,276.88902,11,0
8,1,276.88902,14,0
9,2,276.88902,10,2
10,1,276.88902,10,0
11,2,276.88902,12,0
12,2,276.88902,14,0
13,1,276.88902,12,0
14,2,276.88902,20,0
15,2,276.88902,22,2
16,2,276.88902,16,2
17,2,276.88902,11,2
18,1,276.88902,15,2
19,2,276.88902,10,1
20,2,276.88902,12,1
21,2,276.88902,10,2
22,2,276.88902,13,0
23,2,276.88902,32,0
24,1,276.88902,14,0
25,1,276.88902,12,0
26,2,276.88902,11,1
27,2,276.88902,20,0
28,2,276.88902,26,0
29,2,276.88902,13,0
30,2,276.88902,10,0
31,1,276.88902,12,0
32,1,276.88902,10,1
33,2,276.88902,19,1
34,2,276.88902,10,2
35,1,276.88902,11,2
36,1,276.88902,20,0
37,2,276.88902,23,2
38,1,276.88902,17,0
39,2,276.88902,13,2
40,2,276.88902,10,1
41,2,276.88902,16,1
42,2,276.88902,10,1
43,1,276.88902,16,0
44,2,276.88902,13,0
45,2,276.88902,10,1
46,1,276.88902,17,0
47,2,276.88902,13,0
48,2,276.88902,13,0
49,2,276.88902,11,1
50,2,276.88902,12,1
51,2,276.88902,11,2
52,2,276.88902,14,0
53,1,276.88902,12,1
54,2,276.88902,32,2
55,2,276.88902,16,2
56,2,276.88902,14,2
57,2,276.88902,10,0
58,2,276.88902,24,0
59,2,276.88902,14,1
60,2,276.88902,11,1
61,2,276.88902,20,2
62,2,276.88902,10,2
63,2,276.88902,13,0
64,1,276.88902,12,1
65,1,276.88902,18,0
66,1,276.88902,10,0
67,1,276.88902,11,2
68,2,276.88902,16,1
69,1,276.88902,13,2
70,2,276.88902,14,2
71,2,276.88902,10,0
72,2,276.88902,10,0
73,2,276.88902,11,0
74,2,276.88902,16,0
75,2,276.88902,19,0
76,2,276.88902,18,2
77,2,276.88902,12,0
78,1,276.88902,13,0
79,2,276.88902,10,1
80,2,276.88902,15,0
81,2,276.88902,10,2
82,2,276.88902,10,0
83,1,276.88902,12,2
84,2,276.88902,11,1
85,2,276.88902,12,2
86,1,276.88902,10,1
87,1,276.88902,10,2
88,2,276.88902,13,1
89,1,276.88902,15,0
90,2,276.88902,10,2
91,1,276.88902,24,2
92,1,276.88902,10,1
93,1,276.88902,13,0
94,2,276.88902,10,0
95,2,276.88902,10,2
96,2,276.88902,34,0
97,2,276.88902,10,2
98,2,276.88902,13,2
99,2,276.88902,14,2
100,2,276.88902,10,2
101,2,276.88902,12,2
102,2,276.88902,13,2
103,2,276.88902,17,2
104,1,276.88902,11,2
105,2,276.88902,12,2
106,2,276.88902,33,1
107,1,276.88902,17,0
108,1,276.88902,12,2
109,2,276.88902,19,1
110,2,276.88902,10,0
111,2,276.88902,18,1
112,2,276.88902,11,0
113,2,276.88902,12,2
114,2,276.88902,34,1
115,2,276.88902,12,0
116,2,276.88902,11,1
117,2,276.88902,10,2
118,2,276.88902,10,1
119,2,276.88902,26,2
120,1,276.88902,15,0
121,2,276.88902,12,0
122,2,276.88902,12,2
123,2,276.88902,11,0
124,2,276.88902,11,1
125,1,276.88902,10,2
126,2,276.88902,10,1
127,2,276.88902,14,2
128,2,276.88902,10,2
129,2,276.88902,10,0
130,2,276.88902,13,2
131,2,276.88902,10,2
132,2,276.88902,12,2
133,1,276.88902,10,0
134,2,276.88902,17,0
135,1,276.88902,12,1
136,2,276.88902,10,2
137,2,276.88902,11,0
138,2,276.88902,13,0
139,2,276.88902,10,2
140,1,276.88902,12,0
141,2,276.88902,16,2
142,2,276.88902,13,0
143,2,276.88902,11,0
144,2,276.88902,12,2
145,2,276.88902,11,0
146,1,276.88902,12,0
147,2,276.88902,10,0
148,2,276.88902,12,2
149,1,276.88902,14,0
150,1,276.88902,32,0
151,2,276.88902,14,0
