,cluster_id,time,seqlength,coh_cluster
0,2,210.33935,11,1
1,2,210.33935,14,2
2,2,210.33935,21,2
3,2,210.33935,12,1
4,1,210.33935,18,1
5,2,210.33935,50,2
6,2,210.33935,59,1
7,2,210.33935,11,2
8,1,210.33935,14,2
9,2,210.33935,10,2
10,1,210.33935,10,2
11,2,210.33935,12,2
12,2,210.33935,14,2
13,1,210.33935,12,2
14,2,210.33935,20,2
15,2,210.33935,22,2
16,2,210.33935,16,2
17,2,210.33935,11,2
18,1,210.33935,15,2
19,2,210.33935,10,1
20,2,210.33935,12,1
21,2,210.33935,10,1
22,2,210.33935,13,2
23,2,210.33935,32,2
24,1,210.33935,14,2
25,1,210.33935,12,2
26,2,210.33935,11,1
27,2,210.33935,20,2
28,2,210.33935,26,2
29,2,210.33935,13,2
30,2,210.33935,10,2
31,1,210.33935,12,2
32,1,210.33935,10,1
33,2,210.33935,19,1
34,2,210.33935,10,2
35,1,210.33935,11,0
36,1,210.33935,20,2
37,2,210.33935,23,2
38,1,210.33935,17,2
39,2,210.33935,13,2
40,2,210.33935,10,1
41,2,210.33935,16,1
42,2,210.33935,10,2
43,1,210.33935,16,2
44,2,210.33935,13,2
45,2,210.33935,10,1
46,1,210.33935,17,2
47,2,210.33935,13,2
48,2,210.33935,13,2
49,2,210.33935,11,1
50,2,210.33935,12,2
51,2,210.33935,11,2
52,2,210.33935,14,2
53,1,210.33935,12,1
54,2,210.33935,32,2
55,2,210.33935,16,1
56,2,210.33935,14,2
57,2,210.33935,10,2
58,2,210.33935,24,0
59,2,210.33935,14,1
60,2,210.33935,11,1
61,2,210.33935,20,1
62,2,210.33935,10,1
63,2,210.33935,13,2
64,1,210.33935,12,1
65,1,210.33935,18,2
66,1,210.33935,10,2
67,1,210.33935,11,2
68,2,210.33935,16,1
69,1,210.33935,13,1
70,2,210.33935,14,2
71,2,210.33935,10,2
72,2,210.33935,10,2
73,2,210.33935,11,1
74,2,210.33935,16,2
75,2,210.33935,19,2
76,2,210.33935,18,2
77,2,210.33935,12,1
78,1,210.33935,13,2
79,2,210.33935,10,0
80,2,210.33935,15,2
81,2,210.33935,10,2
82,2,210.33935,10,2
83,1,210.33935,12,2
84,2,210.33935,11,1
85,2,210.33935,12,2
86,1,210.33935,10,1
87,1,210.33935,10,1
88,2,210.33935,13,1
89,1,210.33935,15,2
90,2,210.33935,10,2
91,1,210.33935,24,2
92,1,210.33935,10,2
93,1,210.33935,13,2
94,2,210.33935,10,2
95,2,210.33935,10,1
96,2,210.33935,34,2
97,2,210.33935,10,2
98,2,210.33935,13,2
99,2,210.33935,14,1
100,2,210.33935,10,2
101,2,210.33935,12,2
102,2,210.33935,13,2
103,2,210.33935,17,2
104,1,210.33935,11,2
105,2,210.33935,12,0
106,2,210.33935,33,1
107,1,210.33935,17,2
108,1,210.33935,12,2
109,2,210.33935,19,1
110,2,210.33935,10,2
111,2,210.33935,18,1
112,2,210.33935,11,2
113,2,210.33935,12,2
114,2,210.33935,34,1
115,2,210.33935,12,2
116,2,210.33935,11,1
117,2,210.33935,10,2
118,2,210.33935,10,1
119,2,210.33935,26,2
120,1,210.33935,15,2
121,2,210.33935,12,2
122,2,210.33935,12,2
123,2,210.33935,11,2
124,2,210.33935,11,1
125,1,210.33935,10,2
126,2,210.33935,10,2
127,2,210.33935,14,2
128,2,210.33935,10,2
129,2,210.33935,10,2
130,2,210.33935,13,1
131,2,210.33935,10,2
