,cluster_id,time,seqlength,coh_cluster
0,2,308.47805,11,2
1,2,308.47805,14,1
2,2,308.47805,21,1
3,2,308.47805,12,0
4,1,308.47805,18,2
5,2,308.47805,50,2
6,2,308.47805,59,2
7,2,308.47805,11,1
8,1,308.47805,14,0
9,2,308.47805,10,0
10,1,308.47805,10,0
11,2,308.47805,12,1
12,2,308.47805,14,1
13,1,308.47805,12,1
14,2,308.47805,20,1
15,2,308.47805,22,0
16,2,308.47805,16,1
17,2,308.47805,11,1
18,1,308.47805,15,1
19,2,308.47805,10,0
20,2,308.47805,12,2
21,2,308.47805,10,0
22,2,308.47805,13,1
23,2,308.47805,32,0
24,1,308.47805,14,1
25,1,308.47805,12,0
26,2,308.47805,11,0
27,2,308.47805,20,1
28,2,308.47805,26,1
29,2,308.47805,13,1
30,2,308.47805,10,1
31,1,308.47805,12,1
32,1,308.47805,10,2
33,2,308.47805,19,0
34,2,308.47805,10,1
35,1,308.47805,11,2
36,1,308.47805,20,1
37,2,308.47805,23,1
38,1,308.47805,17,1
39,2,308.47805,13,1
40,2,308.47805,10,2
41,2,308.47805,16,2
42,2,308.47805,10,1
43,1,308.47805,16,1
44,2,308.47805,13,0
45,2,308.47805,10,2
46,1,308.47805,17,1
47,2,308.47805,13,0
48,2,308.47805,13,1
49,2,308.47805,11,2
50,2,308.47805,12,2
51,2,308.47805,11,2
52,2,308.47805,14,1
53,1,308.47805,12,0
54,2,308.47805,32,2
55,2,308.47805,16,0
56,2,308.47805,14,1
57,2,308.47805,10,1
58,2,308.47805,24,2
59,2,308.47805,14,0
60,2,308.47805,11,2
61,2,308.47805,20,2
62,2,308.47805,10,0
63,2,308.47805,13,2
64,1,308.47805,12,0
65,1,308.47805,18,1
66,1,308.47805,10,1
67,1,308.47805,11,1
68,2,308.47805,16,0
69,1,308.47805,13,0
70,2,308.47805,14,1
71,2,308.47805,10,0
72,2,308.47805,10,0
73,2,308.47805,11,1
74,2,308.47805,16,1
75,2,308.47805,19,1
76,2,308.47805,18,0
77,2,308.47805,12,2
78,1,308.47805,13,2
79,2,308.47805,10,2
80,2,308.47805,15,1
81,2,308.47805,10,1
82,2,308.47805,10,1
83,1,308.47805,12,0
84,2,308.47805,11,2
85,2,308.47805,12,0
86,1,308.47805,10,0
87,1,308.47805,10,2
88,2,308.47805,13,0
89,1,308.47805,15,1
90,2,308.47805,10,0
91,1,308.47805,24,1
92,1,308.47805,10,1
93,1,308.47805,13,1
94,2,308.47805,10,1
95,2,308.47805,10,0
96,2,308.47805,34,1
97,2,308.47805,10,1
98,2,308.47805,13,0
99,2,308.47805,14,0
100,2,308.47805,10,1
101,2,308.47805,12,1
102,2,308.47805,13,1
103,2,308.47805,17,1
104,1,308.47805,11,1
105,2,308.47805,12,2
106,2,308.47805,33,2
107,1,308.47805,17,1
108,1,308.47805,12,1
109,2,308.47805,19,2
110,2,308.47805,10,1
111,2,308.47805,18,2
112,2,308.47805,11,1
113,2,308.47805,12,0
114,2,308.47805,34,2
115,2,308.47805,12,1
116,2,308.47805,11,2
117,2,308.47805,10,2
118,2,308.47805,10,0
119,2,308.47805,26,1
120,1,308.47805,15,1
121,2,308.47805,12,0
122,2,308.47805,12,2
123,2,308.47805,11,1
124,2,308.47805,11,0
125,1,308.47805,10,1
126,2,308.47805,10,2
127,2,308.47805,14,2
128,2,308.47805,10,1
129,2,308.47805,10,1
130,2,308.47805,13,0
131,2,308.47805,10,1
132,2,308.47805,12,2
133,1,308.47805,10,1
134,2,308.47805,17,1
135,1,308.47805,12,2
136,2,308.47805,10,2
137,2,308.47805,11,1
138,2,308.47805,13,1
139,2,308.47805,10,0
140,1,308.47805,12,1
141,2,308.47805,16,1
142,2,308.47805,13,1
143,2,308.47805,11,1
144,2,308.47805,12,2
145,2,308.47805,11,0
146,1,308.47805,12,2
147,2,308.47805,10,1
148,2,308.47805,12,1
149,1,308.47805,14,1
150,1,308.47805,32,0
151,2,308.47805,14,1
152,2,308.47805,21,0
153,2,308.47805,33,2
154,2,308.47805,10,1
155,2,308.47805,12,1
156,1,308.47805,10,1
157,2,308.47805,11,2
158,2,308.47805,13,2
159,2,308.47805,13,1
160,2,308.47805,10,2
161,2,308.47805,10,1
162,1,308.47805,14,0
163,1,308.47805,10,1
164,2,308.47805,10,2
165,2,308.47805,10,1
166,2,308.47805,10,2
167,2,308.47805,11,1
168,1,308.47805,15,1
169,1,308.47805,13,1
170,2,308.47805,11,1
171,2,308.47805,10,2
172,2,308.47805,13,1
173,2,308.47805,11,1
174,2,308.47805,10,1
175,2,308.47805,10,2
176,2,308.47805,12,2
177,2,308.47805,10,0
178,1,308.47805,10,1
179,2,308.47805,15,1
180,1,308.47805,16,0
181,2,308.47805,14,0
182,2,308.47805,11,0
183,2,308.47805,11,2
184,2,308.47805,14,0
185,2,308.47805,10,0
186,1,308.47805,18,2
187,2,308.47805,13,2
188,1,308.47805,23,0
189,1,308.47805,12,1
190,2,308.47805,11,1
191,2,308.47805,10,2
192,2,308.47805,10,2
