,cluster_id,time,seqlength,coh_cluster
0,2,41.41904,57,6
1,3,41.41904,150,5
2,4,41.41904,48,6
3,5,41.41904,35,6
4,5,41.41904,74,4
5,5,41.41904,147,4
6,1,41.41904,444,6
7,5,41.41904,159,3
8,3,41.41904,124,3
9,4,41.41904,99,6
10,3,41.41904,77,3
11,3,41.41904,100,6
12,4,41.41904,274,6
13,1,41.41904,473,6
14,3,41.41904,37,5
15,5,41.41904,106,6
16,0,41.41904,74,6
17,1,41.41904,157,6
18,3,41.41904,74,6
19,3,41.41904,72,3
20,4,41.41904,94,6
21,0,41.41904,131,6
22,1,41.41904,190,6
23,1,41.41904,108,6
24,1,41.41904,77,6
25,1,41.41904,52,6
26,3,41.41904,228,3
27,4,41.41904,41,6
28,5,41.41904,362,4
29,3,41.41904,147,6
30,4,41.41904,35,6
31,4,41.41904,431,0
32,5,41.41904,23,4
33,3,41.41904,1070,3
34,3,41.41904,19,6
35,1,41.41904,29,6
36,1,41.41904,161,6
37,3,41.41904,41,3
38,1,41.41904,426,6
39,3,41.41904,10,3
40,4,41.41904,249,6
41,5,41.41904,55,2
42,5,41.41904,10,4
43,0,41.41904,64,6
44,3,41.41904,84,3
45,3,41.41904,158,3
46,3,41.41904,18,6
47,3,41.41904,42,3
48,1,41.41904,9184,6
49,5,41.41904,107,6
50,0,41.41904,24,6
51,1,41.41904,57,6
52,0,41.41904,144,3
53,4,41.41904,458,6
54,0,41.41904,219,6
55,1,41.41904,869,6
56,0,41.41904,311,3
57,5,41.41904,100,6
58,3,41.41904,23,3
59,3,41.41904,48,5
60,3,41.41904,50,5
61,3,41.41904,171,3
62,5,41.41904,39,6
63,0,41.41904,44,6
64,3,41.41904,25,3
65,3,41.41904,144,6
66,0,41.41904,56,6
67,3,41.41904,36,5
68,2,41.41904,24,6
69,0,41.41904,155,3
70,1,41.41904,116,6
71,1,41.41904,97,6
72,1,41.41904,64,6
73,4,41.41904,112,0
74,4,41.41904,101,6
75,0,41.41904,221,6
76,5,41.41904,193,4
77,5,41.41904,610,4
78,5,41.41904,36,6
79,0,41.41904,104,5
80,3,41.41904,85,5
81,0,41.41904,114,6
82,0,41.41904,135,3
83,1,41.41904,391,6
84,5,41.41904,429,6
85,1,41.41904,72,6
86,3,41.41904,146,3
87,0,41.41904,62,6
88,4,41.41904,109,6
89,3,41.41904,14,6
90,1,41.41904,102,6
91,2,41.41904,17,6
92,0,41.41904,84,6
93,0,41.41904,206,6
94,3,41.41904,55,6
95,2,41.41904,64,6
96,3,41.41904,107,6
97,1,41.41904,11,6
98,0,41.41904,19,3
99,4,41.41904,81,6
100,0,41.41904,116,5
101,1,41.41904,209,6
102,0,41.41904,1630,6
103,0,41.41904,28,6
104,0,41.41904,116,6
105,1,41.41904,37,6
106,1,41.41904,44,6
107,0,41.41904,121,6
108,3,41.41904,51,3
109,1,41.41904,40,6
110,1,41.41904,50,6
111,3,41.41904,1714,3
112,1,41.41904,217,3
113,0,41.41904,97,6
114,1,41.41904,43,6
115,1,41.41904,283,6
116,3,41.41904,298,3
117,1,41.41904,6285,6
118,0,41.41904,86,3
119,3,41.41904,1146,3
120,1,41.41904,33,6
121,1,41.41904,28,6
122,5,41.41904,98,2
