,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,1,403.07732999999996,717,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
1,1,403.07732999999996,846,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
2,0,403.07732999999996,879,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
3,3,403.07732999999996,856,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
4,3,403.07732999999996,696,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
5,2,403.07732999999996,735,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
6,2,403.07732999999996,942,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
7,0,403.07732999999996,701,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
8,0,403.07732999999996,722,0,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705
9,1,403.07732999999996,797,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
10,1,403.07732999999996,868,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
11,2,403.07732999999996,763,1,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705
12,0,403.07732999999996,801,0,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705
13,0,403.07732999999996,887,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
14,3,403.07732999999996,846,1,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705
15,2,403.07732999999996,889,2,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705
16,3,403.07732999999996,909,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
17,0,403.07732999999996,923,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
18,3,403.07732999999996,974,1,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705
19,3,403.07732999999996,809,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
20,3,403.07732999999996,767,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
21,0,403.07732999999996,863,3,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705
22,2,403.07732999999996,768,0,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705
23,2,403.07732999999996,715,0,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
24,1,403.07732999999996,1033,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
25,1,403.07732999999996,1031,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
26,3,403.07732999999996,1121,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
27,2,403.07732999999996,912,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
28,2,403.07732999999996,845,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
29,1,403.07732999999996,1041,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
30,1,403.07732999999996,784,2,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
31,3,403.07732999999996,721,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
32,3,403.07732999999996,690,0,0,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
33,1,403.07732999999996,938,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
34,0,403.07732999999996,774,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
35,1,403.07732999999996,939,1,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705
36,2,403.07732999999996,784,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
37,0,403.07732999999996,802,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
38,1,403.07732999999996,1082,0,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705
39,3,403.07732999999996,948,0,2,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
40,0,403.07732999999996,840,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
41,3,403.07732999999996,784,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
42,3,403.07732999999996,802,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
43,1,403.07732999999996,880,0,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705
44,2,403.07732999999996,1096,0,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705
45,3,403.07732999999996,955,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
46,3,403.07732999999996,826,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
47,0,403.07732999999996,1108,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
48,1,403.07732999999996,922,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705
49,1,403.07732999999996,974,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705
