,cluster_id,time,seqlength,coh_cluster
0,1,403.07733,717,2
1,1,403.07733,846,2
2,0,403.07733,879,3
3,3,403.07733,856,2
4,3,403.07733,696,2
5,2,403.07733,735,3
6,2,403.07733,942,3
7,0,403.07733,701,2
8,0,403.07733,722,0
9,1,403.07733,797,2
10,1,403.07733,868,1
11,2,403.07733,763,1
12,0,403.07733,801,0
13,0,403.07733,887,1
14,3,403.07733,846,1
15,2,403.07733,889,2
16,3,403.07733,909,2
17,0,403.07733,923,1
18,3,403.07733,974,1
19,3,403.07733,809,3
20,3,403.07733,767,1
21,0,403.07733,863,3
22,2,403.07733,768,0
23,2,403.07733,715,0
24,1,403.07733,1033,0
25,1,403.07733,1031,1
26,3,403.07733,1121,1
27,2,403.07733,912,0
28,2,403.07733,845,3
29,1,403.07733,1041,0
30,1,403.07733,784,2
31,3,403.07733,721,1
32,3,403.07733,690,0
33,1,403.07733,938,2
34,0,403.07733,774,2
35,1,403.07733,939,1
36,2,403.07733,784,3
37,0,403.07733,802,2
38,1,403.07733,1082,0
39,3,403.07733,948,0
40,0,403.07733,840,2
41,3,403.07733,784,1
42,3,403.07733,802,0
43,1,403.07733,880,0
44,2,403.07733,1096,0
45,3,403.07733,955,0
46,3,403.07733,826,0
47,0,403.07733,1108,3
48,1,403.07733,922,1
49,1,403.07733,974,2
50,2,403.07733,735,3
51,2,403.07733,1118,3
52,2,403.07733,723,1
53,3,403.07733,1007,3
54,2,403.07733,873,0
55,1,403.07733,1019,0
56,3,403.07733,753,3
57,0,403.07733,848,3
58,1,403.07733,882,2
59,0,403.07733,1007,1
60,0,403.07733,992,3
61,1,403.07733,1122,1
62,1,403.07733,759,2
63,2,403.07733,847,3
64,1,403.07733,805,2
65,0,403.07733,920,0
66,1,403.07733,933,3
67,2,403.07733,745,3
68,2,403.07733,724,3
69,2,403.07733,732,2
70,3,403.07733,811,3
71,0,403.07733,948,3
72,2,403.07733,975,3
73,3,403.07733,1039,3
74,1,403.07733,781,0
75,1,403.07733,886,1
76,1,403.07733,829,2
77,2,403.07733,915,1
78,3,403.07733,1030,0
79,2,403.07733,970,3
80,0,403.07733,749,2
81,1,403.07733,971,2
82,3,403.07733,826,1
83,1,403.07733,760,0
84,3,403.07733,912,1
85,3,403.07733,923,1
86,3,403.07733,710,2
87,3,403.07733,760,2
88,2,403.07733,831,3
89,3,403.07733,724,2
90,1,403.07733,809,1
91,2,403.07733,1008,3
92,1,403.07733,712,2
93,2,403.07733,1022,2
94,2,403.07733,937,1
95,2,403.07733,607,1
96,0,403.07733,844,1
97,3,403.07733,722,0
98,2,403.07733,760,3
99,1,403.07733,983,2
100,3,403.07733,667,1
101,2,403.07733,827,3
102,3,403.07733,828,0
103,2,403.07733,782,1
104,3,403.07733,736,2
105,2,403.07733,1092,1
106,0,403.07733,984,1
107,1,403.07733,886,2
108,3,403.07733,893,1
109,2,403.07733,775,3
110,3,403.07733,713,0
111,2,403.07733,846,2
112,2,403.07733,1066,1
113,3,403.07733,776,1
114,1,403.07733,1126,1
115,2,403.07733,986,2
116,2,403.07733,946,0
117,0,403.07733,777,0
118,3,403.07733,756,3
119,3,403.07733,927,1
120,3,403.07733,710,1
121,3,403.07733,698,3
122,0,403.07733,951,1
123,1,403.07733,860,1
124,1,403.07733,943,3
125,3,403.07733,1127,1
126,1,403.07733,738,2
127,0,403.07733,840,1
128,3,403.07733,823,1
129,0,403.07733,815,1
130,1,403.07733,994,2
131,3,403.07733,1142,3
132,0,403.07733,857,3
133,0,403.07733,1110,3
134,2,403.07733,720,3
135,3,403.07733,1098,1
136,0,403.07733,1123,3
137,2,403.07733,754,2
138,1,403.07733,1087,2
139,3,403.07733,803,1
140,1,403.07733,895,1
141,0,403.07733,1083,2
142,2,403.07733,979,1
143,1,403.07733,892,2
144,0,403.07733,713,0
145,3,403.07733,913,0
146,1,403.07733,1032,0
147,2,403.07733,899,3
148,1,403.07733,731,0
149,1,403.07733,708,1
150,3,403.07733,932,0
151,2,403.07733,958,2
152,1,403.07733,707,2
153,1,403.07733,879,1
154,2,403.07733,722,2
155,3,403.07733,976,0
156,1,403.07733,703,2
157,2,403.07733,1136,3
158,3,403.07733,739,0
159,3,403.07733,904,1
160,1,403.07733,834,3
161,2,403.07733,1001,3
162,0,403.07733,710,0
163,1,403.07733,988,2
164,2,403.07733,715,2
165,0,403.07733,849,3
166,1,403.07733,1041,2
167,2,403.07733,1093,3
168,3,403.07733,856,2
169,0,403.07733,937,1
170,0,403.07733,861,1
171,1,403.07733,991,3
172,1,403.07733,730,2
173,3,403.07733,843,1
174,2,403.07733,1040,2
175,0,403.07733,1068,2
176,1,403.07733,696,2
177,0,403.07733,866,2
178,3,403.07733,797,0
179,1,403.07733,948,0
180,1,403.07733,969,0
181,3,403.07733,746,0
182,1,403.07733,837,0
183,2,403.07733,848,2
184,2,403.07733,822,3
185,1,403.07733,1023,0
186,0,403.07733,756,3
187,3,403.07733,853,3
188,0,403.07733,874,2
189,1,403.07733,800,1
190,3,403.07733,749,3
191,1,403.07733,874,2
192,0,403.07733,829,0
193,3,403.07733,756,1
