,cluster_id,time,seqlength,coh_cluster
0,2,89.41289,2959,14
1,10,89.41289,3942,10
2,2,89.41289,2916,10
3,9,89.41289,3350,4
4,10,89.41289,2540,2
5,9,89.41289,3232,10
6,2,89.41289,3222,11
7,4,89.41289,3607,15
8,5,89.41289,3353,12
9,4,89.41289,2865,0
10,2,89.41289,2567,11
11,10,89.41289,2630,9
12,2,89.41289,3987,5
13,2,89.41289,3106,5
14,2,89.41289,3680,11
15,9,89.41289,2890,1
16,2,89.41289,3187,9
17,10,89.41289,3059,11
18,9,89.41289,3377,14
19,10,89.41289,2869,6
20,10,89.41289,2635,10
21,10,89.41289,3449,0
22,10,89.41289,3159,9
23,2,89.41289,4252,14
24,2,89.41289,3655,14
25,5,89.41289,3702,15
26,4,89.41289,2732,6
27,12,89.41289,2641,5
28,4,89.41289,2866,14
29,8,89.41289,2822,0
30,12,89.41289,4472,9
31,2,89.41289,3523,14
32,9,89.41289,2860,6
33,2,89.41289,2448,5
34,7,89.41289,3102,5
35,10,89.41289,3042,6
36,2,89.41289,2489,5
37,10,89.41289,2875,0
38,2,89.41289,2415,2
39,7,89.41289,2563,5
40,10,89.41289,3245,5
41,10,89.41289,3710,11
42,4,89.41289,2957,0
43,10,89.41289,2965,5
44,12,89.41289,3269,11
45,10,89.41289,3644,11
46,4,89.41289,2718,6
47,10,89.41289,3171,5
48,10,89.41289,3554,9
49,2,89.41289,2504,8
50,2,89.41289,2704,5
51,7,89.41289,3103,15
52,10,89.41289,2811,0
53,10,89.41289,3346,15
54,9,89.41289,4381,12
55,4,89.41289,2461,2
56,2,89.41289,3587,11
57,2,89.41289,3775,15
58,4,89.41289,3208,0
59,2,89.41289,2445,5
60,9,89.41289,3747,1
61,7,89.41289,3268,3
62,9,89.41289,4021,13
63,10,89.41289,2639,9
64,9,89.41289,3897,14
65,2,89.41289,2553,12
66,2,89.41289,3516,15
67,2,89.41289,2714,9
68,2,89.41289,3049,1
69,10,89.41289,2927,5
70,7,89.41289,2949,3
71,9,89.41289,4318,13
72,9,89.41289,2755,11
73,10,89.41289,3441,1
74,0,89.41289,3533,6
75,2,89.41289,4303,4
76,2,89.41289,4116,6
77,2,89.41289,4192,9
78,2,89.41289,3273,0
79,2,89.41289,4324,15
80,2,89.41289,2776,9
81,7,89.41289,2522,2
82,2,89.41289,3105,5
83,4,89.41289,2924,8
84,10,89.41289,2625,11
85,2,89.41289,3363,4
86,10,89.41289,3061,5
87,2,89.41289,2793,2
88,7,89.41289,3813,8
89,2,89.41289,3357,6
90,7,89.41289,2788,10
91,2,89.41289,2788,11
92,9,89.41289,2561,4
93,4,89.41289,2885,14
94,0,89.41289,3397,12
95,2,89.41289,2850,10
96,9,89.41289,2848,6
97,4,89.41289,2818,13
98,2,89.41289,2830,6
99,3,89.41289,2557,2
100,10,89.41289,3785,15
101,2,89.41289,3414,9
102,9,89.41289,3420,11
103,2,89.41289,3408,9
104,2,89.41289,4299,9
105,9,89.41289,4319,1
106,7,89.41289,2429,5
107,0,89.41289,2898,15
108,7,89.41289,2518,9
109,10,89.41289,2865,6
110,2,89.41289,3454,11
111,4,89.41289,3107,8
112,2,89.41289,4321,14
113,0,89.41289,3780,5
114,10,89.41289,2857,5
115,7,89.41289,2767,12
116,2,89.41289,4000,9
117,10,89.41289,3307,9
118,2,89.41289,3756,11
119,10,89.41289,4125,9
120,2,89.41289,2740,15
121,2,89.41289,3184,14
122,10,89.41289,2575,11
123,7,89.41289,3462,3
124,4,89.41289,3866,12
125,7,89.41289,2612,5
126,2,89.41289,2680,9
127,2,89.41289,2543,2
128,10,89.41289,3220,1
129,4,89.41289,2507,0
130,10,89.41289,2638,10
131,9,89.41289,3323,1
132,9,89.41289,2571,1
133,5,89.41289,3719,15
134,2,89.41289,3831,5
135,2,89.41289,3047,0
136,10,89.41289,4387,6
137,2,89.41289,3809,5
138,9,89.41289,3237,11
139,10,89.41289,4152,4
140,10,89.41289,2493,0
141,4,89.41289,3643,15
142,2,89.41289,2907,9
143,10,89.41289,2473,13
144,4,89.41289,2445,2
145,1,89.41289,2585,2
146,10,89.41289,3686,2
147,9,89.41289,2975,13
148,9,89.41289,3249,14
149,2,89.41289,2500,11
150,2,89.41289,3302,11
151,9,89.41289,3209,10
152,2,89.41289,2691,9
153,7,89.41289,2489,6
154,3,89.41289,3893,6
155,7,89.41289,2461,8
156,7,89.41289,3829,1
157,1,89.41289,2555,0
158,10,89.41289,3257,9
159,12,89.41289,3090,5
160,9,89.41289,3230,14
161,2,89.41289,3610,1
162,12,89.41289,2728,8
163,2,89.41289,3682,5
164,2,89.41289,2842,14
165,4,89.41289,4033,10
166,12,89.41289,2489,9
167,9,89.41289,2720,11
168,2,89.41289,2556,11
169,2,89.41289,3389,14
170,10,89.41289,2874,1
171,10,89.41289,3437,6
172,2,89.41289,2666,0
173,6,89.41289,4289,9
174,10,89.41289,3834,1
175,2,89.41289,3137,9
176,3,89.41289,3928,11
177,2,89.41289,3208,11
178,2,89.41289,2995,13
179,7,89.41289,2488,0
180,7,89.41289,4054,0
181,4,89.41289,2607,14
182,2,89.41289,3867,6
183,9,89.41289,2709,9
184,10,89.41289,2915,3
185,12,89.41289,3646,9
186,4,89.41289,4229,10
187,4,89.41289,4110,12
188,10,89.41289,4172,4
189,12,89.41289,4146,15
190,12,89.41289,3760,1
191,2,89.41289,2714,12
192,2,89.41289,2431,1
193,2,89.41289,2430,5
194,10,89.41289,2720,2
195,4,89.41289,3510,1
196,2,89.41289,2697,5
197,2,89.41289,4177,13
198,12,89.41289,2740,5
199,10,89.41289,2423,2
200,5,89.41289,4373,4
201,10,89.41289,3055,9
202,4,89.41289,4339,5
203,12,89.41289,3072,9
204,12,89.41289,4319,14
205,11,89.41289,2579,9
206,7,89.41289,4491,13
207,12,89.41289,2661,5
208,9,89.41289,4452,3
209,0,89.41289,4191,10
210,2,89.41289,4438,10
211,9,89.41289,3489,10
212,4,89.41289,3726,2
213,9,89.41289,3166,1
214,2,89.41289,2498,11
215,9,89.41289,2507,11
216,2,89.41289,3347,6
217,2,89.41289,3177,13
218,10,89.41289,3742,10
219,2,89.41289,2587,5
220,7,89.41289,2975,2
221,4,89.41289,3497,11
222,4,89.41289,3198,14
223,10,89.41289,2517,11
224,5,89.41289,3190,10
225,10,89.41289,2734,6
226,10,89.41289,2821,12
227,10,89.41289,3540,5
228,7,89.41289,2824,8
229,9,89.41289,2880,4
230,2,89.41289,3720,5
231,10,89.41289,4175,5
232,7,89.41289,3862,15
