,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,7,27.64488,3,1,0,1629.05282,218,1569.93751,8,1595.81848,-1,1727.11111
1,7,27.64488,3,1,0,1629.05282,79,1569.93751,0,1595.81848,-1,1727.11111
2,5,27.64488,2,1,7,1629.05282,101,1569.93751,2,1595.81848,-1,1727.11111
3,7,27.64488,2,1,0,1629.05282,121,1569.93751,0,1595.81848,-1,1727.11111
4,3,27.64488,4,0,5,1629.05282,180,1569.93751,7,1595.81848,-1,1727.11111
5,3,27.64488,3,0,6,1629.05282,30,1569.93751,5,1595.81848,-1,1727.11111
6,1,27.64488,7,1,1,1629.05282,70,1569.93751,5,1595.81848,-1,1727.11111
7,8,27.64488,4,1,7,1629.05282,36,1569.93751,0,1595.81848,-1,1727.11111
8,0,27.64488,2,1,3,1629.05282,161,1569.93751,1,1595.81848,-1,1727.11111
9,6,27.64488,3,0,8,1629.05282,175,1569.93751,2,1595.81848,-1,1727.11111
10,5,27.64488,2,0,5,1629.05282,168,1569.93751,6,1595.81848,-1,1727.11111
11,7,27.64488,4,1,0,1629.05282,15,1569.93751,8,1595.81848,-1,1727.11111
12,6,27.64488,4,1,8,1629.05282,33,1569.93751,2,1595.81848,-1,1727.11111
13,7,27.64488,2,1,8,1629.05282,166,1569.93751,3,1595.81848,-1,1727.11111
14,7,27.64488,2,1,2,1629.05282,0,1569.93751,2,1595.81848,-1,1727.11111
15,3,27.64488,4,1,5,1629.05282,222,1569.93751,0,1595.81848,-1,1727.11111
16,6,27.64488,4,1,8,1629.05282,72,1569.93751,2,1595.81848,-1,1727.11111
17,8,27.64488,2,1,7,1629.05282,166,1569.93751,2,1595.81848,-1,1727.11111
18,1,27.64488,5,1,6,1629.05282,210,1569.93751,2,1595.81848,-1,1727.11111
19,6,27.64488,2,1,5,1629.05282,221,1569.93751,6,1595.81848,-1,1727.11111
20,2,27.64488,3,0,0,1629.05282,135,1569.93751,8,1595.81848,-1,1727.11111
21,1,27.64488,2,0,6,1629.05282,119,1569.93751,5,1595.81848,-1,1727.11111
22,5,27.64488,6,1,1,1629.05282,170,1569.93751,0,1595.81848,-1,1727.11111
23,7,27.64488,2,1,2,1629.05282,0,1569.93751,0,1595.81848,-1,1727.11111
24,6,27.64488,2,1,5,1629.05282,221,1569.93751,6,1595.81848,-1,1727.11111
25,7,27.64488,2,1,0,1629.05282,1,1569.93751,8,1595.81848,-1,1727.11111
26,3,27.64488,4,0,5,1629.05282,154,1569.93751,5,1595.81848,-1,1727.11111
27,2,27.64488,2,0,4,1629.05282,64,1569.93751,4,1595.81848,-1,1727.11111
28,1,27.64488,4,1,6,1629.05282,111,1569.93751,0,1595.81848,-1,1727.11111
29,1,27.64488,4,1,2,1629.05282,152,1569.93751,0,1595.81848,-1,1727.11111
30,7,27.64488,2,0,2,1629.05282,110,1569.93751,6,1595.81848,-1,1727.11111
31,6,27.64488,3,1,8,1629.05282,106,1569.93751,2,1595.81848,-1,1727.11111
32,6,27.64488,2,0,3,1629.05282,32,1569.93751,2,1595.81848,-1,1727.11111
33,6,27.64488,4,0,5,1629.05282,196,1569.93751,0,1595.81848,-1,1727.11111
34,7,27.64488,3,1,8,1629.05282,33,1569.93751,2,1595.81848,-1,1727.11111
35,1,27.64488,2,1,1,1629.05282,169,1569.93751,6,1595.81848,-1,1727.11111
36,1,27.64488,2,1,1,1629.05282,139,1569.93751,3,1595.81848,-1,1727.11111
37,8,27.64488,3,1,5,1629.05282,85,1569.93751,0,1595.81848,-1,1727.11111
38,8,27.64488,5,1,5,1629.05282,2,1569.93751,0,1595.81848,-1,1727.11111
39,8,27.64488,4,1,5,1629.05282,85,1569.93751,0,1595.81848,-1,1727.11111
40,1,27.64488,3,0,1,1629.05282,169,1569.93751,6,1595.81848,-1,1727.11111
41,1,27.64488,2,1,1,1629.05282,169,1569.93751,0,1595.81848,-1,1727.11111
42,8,27.64488,5,1,5,1629.05282,2,1569.93751,0,1595.81848,-1,1727.11111
43,8,27.64488,2,1,7,1629.05282,101,1569.93751,2,1595.81848,-1,1727.11111
44,8,27.64488,2,1,2,1629.05282,5,1569.93751,0,1595.81848,-1,1727.11111
45,8,27.64488,6,1,5,1629.05282,85,1569.93751,0,1595.81848,-1,1727.11111
46,5,27.64488,2,1,8,1629.05282,33,1569.93751,8,1595.81848,-1,1727.11111
47,8,27.64488,2,1,8,1629.05282,22,1569.93751,2,1595.81848,-1,1727.11111
48,7,27.64488,2,1,0,1629.05282,49,1569.93751,0,1595.81848,-1,1727.11111
49,4,27.64488,3,1,2,1629.05282,3,1569.93751,0,1595.81848,-1,1727.11111
50,5,27.64488,3,0,5,1629.05282,21,1569.93751,6,1595.81848,-1,1727.11111
51,7,27.64488,3,1,0,1629.05282,194,1569.93751,8,1595.81848,-1,1727.11111
52,7,27.64488,4,1,6,1629.05282,167,1569.93751,5,1595.81848,-1,1727.11111
53,3,27.64488,3,0,5,1629.05282,106,1569.93751,6,1595.81848,-1,1727.11111
54,1,27.64488,2,1,1,1629.05282,4,1569.93751,2,1595.81848,-1,1727.11111
55,8,27.64488,2,1,5,1629.05282,58,1569.93751,7,1595.81848,-1,1727.11111
56,6,27.64488,6,0,8,1629.05282,72,1569.93751,5,1595.81848,-1,1727.11111
57,3,27.64488,4,0,5,1629.05282,154,1569.93751,6,1595.81848,-1,1727.11111
58,7,27.64488,2,1,6,1629.05282,181,1569.93751,5,1595.81848,-1,1727.11111
59,5,27.64488,2,0,5,1629.05282,109,1569.93751,6,1595.81848,-1,1727.11111
60,2,27.64488,5,0,5,1629.05282,27,1569.93751,5,1595.81848,-1,1727.11111
61,6,27.64488,2,0,8,1629.05282,235,1569.93751,2,1595.81848,-1,1727.11111
62,0,27.64488,2,0,3,1629.05282,32,1569.93751,2,1595.81848,-1,1727.11111
63,7,27.64488,3,0,2,1629.05282,116,1569.93751,3,1595.81848,-1,1727.11111
64,6,27.64488,2,0,8,1629.05282,143,1569.93751,2,1595.81848,-1,1727.11111
65,7,27.64488,2,1,2,1629.05282,5,1569.93751,0,1595.81848,-1,1727.11111
66,7,27.64488,3,1,2,1629.05282,220,1569.93751,0,1595.81848,-1,1727.11111
67,7,27.64488,2,1,0,1629.05282,49,1569.93751,8,1595.81848,-1,1727.11111
68,2,27.64488,3,0,4,1629.05282,6,1569.93751,4,1595.81848,-1,1727.11111
69,2,27.64488,2,0,6,1629.05282,7,1569.93751,5,1595.81848,-1,1727.11111
70,8,27.64488,2,1,8,1629.05282,66,1569.93751,5,1595.81848,-1,1727.11111
71,7,27.64488,3,1,0,1629.05282,121,1569.93751,5,1595.81848,-1,1727.11111
72,3,27.64488,5,0,5,1629.05282,25,1569.93751,6,1595.81848,-1,1727.11111
73,1,27.64488,5,1,1,1629.05282,71,1569.93751,0,1595.81848,-1,1727.11111
74,6,27.64488,2,1,8,1629.05282,223,1569.93751,3,1595.81848,-1,1727.11111
75,7,27.64488,2,0,0,1629.05282,121,1569.93751,8,1595.81848,-1,1727.11111
76,3,27.64488,2,0,5,1629.05282,154,1569.93751,6,1595.81848,-1,1727.11111
77,5,27.64488,4,1,8,1629.05282,17,1569.93751,3,1595.81848,-1,1727.11111
78,6,27.64488,2,0,3,1629.05282,32,1569.93751,2,1595.81848,-1,1727.11111
79,6,27.64488,2,1,5,1629.05282,58,1569.93751,5,1595.81848,-1,1727.11111
80,5,27.64488,2,0,3,1629.05282,161,1569.93751,1,1595.81848,-1,1727.11111
81,8,27.64488,6,1,0,1629.05282,96,1569.93751,0,1595.81848,-1,1727.11111
82,4,27.64488,4,1,2,1629.05282,3,1569.93751,0,1595.81848,-1,1727.11111
83,7,27.64488,2,1,0,1629.05282,151,1569.93751,0,1595.81848,-1,1727.11111
84,8,27.64488,4,1,7,1629.05282,101,1569.93751,2,1595.81848,-1,1727.11111
85,7,27.64488,3,1,0,1629.05282,49,1569.93751,8,1595.81848,-1,1727.11111
86,1,27.64488,5,0,1,1629.05282,169,1569.93751,5,1595.81848,-1,1727.11111
87,8,27.64488,4,1,5,1629.05282,58,1569.93751,0,1595.81848,-1,1727.11111
88,6,27.64488,2,1,8,1629.05282,109,1569.93751,3,1595.81848,-1,1727.11111
89,0,27.64488,6,0,3,1629.05282,161,1569.93751,5,1595.81848,-1,1727.11111
90,6,27.64488,3,0,8,1629.05282,172,1569.93751,5,1595.81848,-1,1727.11111
91,5,27.64488,3,1,8,1629.05282,8,1569.93751,2,1595.81848,-1,1727.11111
92,0,27.64488,2,0,3,1629.05282,179,1569.93751,1,1595.81848,-1,1727.11111
93,6,27.64488,4,1,1,1629.05282,201,1569.93751,3,1595.81848,-1,1727.11111
94,7,27.64488,4,0,5,1629.05282,9,1569.93751,0,1595.81848,-1,1727.11111
95,2,27.64488,6,0,5,1629.05282,27,1569.93751,5,1595.81848,-1,1727.11111
96,5,27.64488,2,0,5,1629.05282,109,1569.93751,0,1595.81848,-1,1727.11111
97,7,27.64488,2,0,0,1629.05282,49,1569.93751,8,1595.81848,-1,1727.11111
98,5,27.64488,2,0,5,1629.05282,10,1569.93751,6,1595.81848,-1,1727.11111
99,2,27.64488,2,0,3,1629.05282,83,1569.93751,4,1595.81848,-1,1727.11111
100,6,27.64488,2,1,2,1629.05282,60,1569.93751,2,1595.81848,-1,1727.11111
101,8,27.64488,2,1,7,1629.05282,151,1569.93751,0,1595.81848,-1,1727.11111
102,7,27.64488,3,1,1,1629.05282,170,1569.93751,0,1595.81848,-1,1727.11111
103,6,27.64488,2,1,1,1629.05282,201,1569.93751,2,1595.81848,-1,1727.11111
104,5,27.64488,3,1,5,1629.05282,153,1569.93751,0,1595.81848,-1,1727.11111
105,2,27.64488,3,0,5,1629.05282,27,1569.93751,0,1595.81848,-1,1727.11111
106,8,27.64488,3,1,7,1629.05282,173,1569.93751,0,1595.81848,-1,1727.11111
107,6,27.64488,4,1,8,1629.05282,72,1569.93751,2,1595.81848,-1,1727.11111
108,1,27.64488,3,1,1,1629.05282,169,1569.93751,0,1595.81848,-1,1727.11111
109,2,27.64488,2,0,6,1629.05282,30,1569.93751,5,1595.81848,-1,1727.11111
110,1,27.64488,2,0,1,1629.05282,205,1569.93751,5,1595.81848,-1,1727.11111
111,2,27.64488,4,0,5,1629.05282,209,1569.93751,6,1595.81848,-1,1727.11111
112,5,27.64488,6,1,8,1629.05282,8,1569.93751,2,1595.81848,-1,1727.11111
113,6,27.64488,7,1,8,1629.05282,68,1569.93751,5,1595.81848,-1,1727.11111
114,5,27.64488,3,1,5,1629.05282,214,1569.93751,0,1595.81848,-1,1727.11111
115,7,27.64488,3,1,0,1629.05282,164,1569.93751,0,1595.81848,-1,1727.11111
116,7,27.64488,3,1,2,1629.05282,207,1569.93751,8,1595.81848,-1,1727.11111
117,2,27.64488,2,0,5,1629.05282,27,1569.93751,7,1595.81848,-1,1727.11111
118,2,27.64488,2,0,3,1629.05282,161,1569.93751,5,1595.81848,-1,1727.11111
119,1,27.64488,7,0,6,1629.05282,44,1569.93751,7,1595.81848,-1,1727.11111
120,6,27.64488,3,1,6,1629.05282,11,1569.93751,2,1595.81848,-1,1727.11111
121,8,27.64488,2,1,7,1629.05282,101,1569.93751,2,1595.81848,-1,1727.11111
122,8,27.64488,4,1,1,1629.05282,12,1569.93751,0,1595.81848,-1,1727.11111
123,6,27.64488,2,0,8,1629.05282,13,1569.93751,2,1595.81848,-1,1727.11111
124,0,27.64488,2,0,3,1629.05282,14,1569.93751,1,1595.81848,-1,1727.11111
125,3,27.64488,3,1,5,1629.05282,84,1569.93751,0,1595.81848,-1,1727.11111
126,7,27.64488,4,1,0,1629.05282,187,1569.93751,0,1595.81848,-1,1727.11111
127,1,27.64488,4,1,1,1629.05282,169,1569.93751,0,1595.81848,-1,1727.11111
128,1,27.64488,3,0,8,1629.05282,18,1569.93751,2,1595.81848,-1,1727.11111
129,6,27.64488,2,1,2,1629.05282,60,1569.93751,5,1595.81848,-1,1727.11111
130,2,27.64488,6,0,4,1629.05282,98,1569.93751,4,1595.81848,-1,1727.11111
131,7,27.64488,3,1,2,1629.05282,230,1569.93751,2,1595.81848,-1,1727.11111
132,8,27.64488,2,1,8,1629.05282,22,1569.93751,2,1595.81848,-1,1727.11111
133,7,27.64488,3,1,0,1629.05282,15,1569.93751,8,1595.81848,-1,1727.11111
134,7,27.64488,2,1,0,1629.05282,228,1569.93751,8,1595.81848,-1,1727.11111
135,1,27.64488,3,1,1,1629.05282,71,1569.93751,0,1595.81848,-1,1727.11111
136,7,27.64488,4,1,0,1629.05282,81,1569.93751,7,1595.81848,-1,1727.11111
137,8,27.64488,4,1,5,1629.05282,34,1569.93751,7,1595.81848,-1,1727.11111
138,7,27.64488,2,0,2,1629.05282,110,1569.93751,0,1595.81848,-1,1727.11111
