,cluster_id,time,seqlength,coh_cluster
0,2,268.00732,11,2
1,2,268.00732,14,0
2,2,268.00732,21,0
3,2,268.00732,12,2
4,1,268.00732,18,2
5,2,268.00732,50,2
6,2,268.00732,59,2
7,2,268.00732,11,0
8,1,268.00732,14,0
9,2,268.00732,10,1
10,1,268.00732,10,0
11,2,268.00732,12,0
12,2,268.00732,14,0
13,1,268.00732,12,0
14,2,268.00732,20,0
15,2,268.00732,22,1
16,2,268.00732,16,1
17,2,268.00732,11,1
18,1,268.00732,15,1
19,2,268.00732,10,2
20,2,268.00732,12,2
21,2,268.00732,10,1
22,2,268.00732,13,0
23,2,268.00732,32,0
24,1,268.00732,14,0
25,1,268.00732,12,0
26,2,268.00732,11,2
27,2,268.00732,20,0
28,2,268.00732,26,0
29,2,268.00732,13,0
30,2,268.00732,10,0
31,1,268.00732,12,0
32,1,268.00732,10,2
33,2,268.00732,19,2
34,2,268.00732,10,1
35,1,268.00732,11,1
36,1,268.00732,20,0
37,2,268.00732,23,2
38,1,268.00732,17,0
39,2,268.00732,13,1
40,2,268.00732,10,2
41,2,268.00732,16,2
42,2,268.00732,10,0
43,1,268.00732,16,0
44,2,268.00732,13,0
45,2,268.00732,10,2
46,1,268.00732,17,0
47,2,268.00732,13,0
48,2,268.00732,13,0
49,2,268.00732,11,2
50,2,268.00732,12,2
51,2,268.00732,11,2
52,2,268.00732,14,0
53,1,268.00732,12,2
54,2,268.00732,32,1
55,2,268.00732,16,1
56,2,268.00732,14,1
57,2,268.00732,10,0
58,2,268.00732,24,2
59,2,268.00732,14,2
60,2,268.00732,11,2
61,2,268.00732,20,1
62,2,268.00732,10,2
63,2,268.00732,13,2
64,1,268.00732,12,2
65,1,268.00732,18,0
66,1,268.00732,10,0
67,1,268.00732,11,2
68,2,268.00732,16,2
69,1,268.00732,13,1
70,2,268.00732,14,1
71,2,268.00732,10,0
72,2,268.00732,10,0
73,2,268.00732,11,0
74,2,268.00732,16,0
75,2,268.00732,19,0
76,2,268.00732,18,1
77,2,268.00732,12,2
78,1,268.00732,13,2
79,2,268.00732,10,2
80,2,268.00732,15,0
81,2,268.00732,10,1
82,2,268.00732,10,0
83,1,268.00732,12,2
84,2,268.00732,11,2
85,2,268.00732,12,1
86,1,268.00732,10,2
87,1,268.00732,10,1
88,2,268.00732,13,2
89,1,268.00732,15,0
90,2,268.00732,10,1
91,1,268.00732,24,1
92,1,268.00732,10,0
93,1,268.00732,13,0
94,2,268.00732,10,0
95,2,268.00732,10,1
96,2,268.00732,34,0
97,2,268.00732,10,1
98,2,268.00732,13,1
99,2,268.00732,14,2
100,2,268.00732,10,1
101,2,268.00732,12,1
102,2,268.00732,13,2
103,2,268.00732,17,1
104,1,268.00732,11,1
105,2,268.00732,12,2
106,2,268.00732,33,2
107,1,268.00732,17,0
108,1,268.00732,12,1
109,2,268.00732,19,2
110,2,268.00732,10,0
111,2,268.00732,18,2
112,2,268.00732,11,0
113,2,268.00732,12,1
114,2,268.00732,34,2
115,2,268.00732,12,0
116,2,268.00732,11,2
117,2,268.00732,10,1
118,2,268.00732,10,2
119,2,268.00732,26,1
120,1,268.00732,15,0
121,2,268.00732,12,0
122,2,268.00732,12,1
123,2,268.00732,11,0
124,2,268.00732,11,2
125,1,268.00732,10,1
126,2,268.00732,10,2
127,2,268.00732,14,1
128,2,268.00732,10,1
129,2,268.00732,10,0
130,2,268.00732,13,1
131,2,268.00732,10,1
132,2,268.00732,12,2
133,1,268.00732,10,0
134,2,268.00732,17,0
135,1,268.00732,12,2
136,2,268.00732,10,2
137,2,268.00732,11,0
138,2,268.00732,13,0
139,2,268.00732,10,1
140,1,268.00732,12,0
141,2,268.00732,16,1
142,2,268.00732,13,0
143,2,268.00732,11,0
144,2,268.00732,12,2
145,2,268.00732,11,1
146,1,268.00732,12,2
147,2,268.00732,10,0
148,2,268.00732,12,1
149,1,268.00732,14,0
150,1,268.00732,32,2
151,2,268.00732,14,0
152,2,268.00732,21,0
153,2,268.00732,33,2
154,2,268.00732,10,1
155,2,268.00732,12,0
156,1,268.00732,10,2
157,2,268.00732,11,2
158,2,268.00732,13,1
159,2,268.00732,13,0
160,2,268.00732,10,2
161,2,268.00732,10,1
162,1,268.00732,14,2
163,1,268.00732,10,0
164,2,268.00732,10,1
165,2,268.00732,10,0
166,2,268.00732,10,2
167,2,268.00732,11,0
168,1,268.00732,15,0
169,1,268.00732,13,0
170,2,268.00732,11,2
171,2,268.00732,10,1
172,2,268.00732,13,0
173,2,268.00732,11,0
174,2,268.00732,10,0
175,2,268.00732,10,2
176,2,268.00732,12,1
177,2,268.00732,10,1
178,1,268.00732,10,0
179,2,268.00732,15,0
180,1,268.00732,16,2
181,2,268.00732,14,0
182,2,268.00732,11,2
183,2,268.00732,11,2
184,2,268.00732,14,0
185,2,268.00732,10,2
186,1,268.00732,18,2
187,2,268.00732,13,2
188,1,268.00732,23,2
189,1,268.00732,12,1
190,2,268.00732,11,0
191,2,268.00732,10,2
192,2,268.00732,10,1
193,2,268.00732,11,0
194,2,268.00732,10,0
195,1,268.00732,10,0
196,2,268.00732,10,0
197,2,268.00732,14,1
198,2,268.00732,10,0
199,1,268.00732,14,1
200,2,268.00732,10,0
201,2,268.00732,28,0
202,2,268.00732,10,2
203,2,268.00732,11,1
204,1,268.00732,11,0
205,2,268.00732,12,1
206,2,268.00732,12,2
207,1,268.00732,10,2
208,2,268.00732,10,1
209,2,268.00732,11,2
210,2,268.00732,16,2
211,2,268.00732,17,0
212,1,268.00732,13,0
213,1,268.00732,15,0
214,2,268.00732,20,0
215,1,268.00732,13,0
216,2,268.00732,20,1
217,1,268.00732,10,0
218,2,268.00732,11,0
219,2,268.00732,12,2
220,2,268.00732,13,0
221,2,268.00732,11,2
222,1,268.00732,12,0
223,1,268.00732,13,0
224,2,268.00732,17,1
225,2,268.00732,15,0
226,1,268.00732,13,2
227,2,268.00732,15,0
228,1,268.00732,13,0
229,1,268.00732,11,0
230,2,268.00732,13,2
231,2,268.00732,26,1
232,1,268.00732,10,2
233,2,268.00732,10,1
234,1,268.00732,12,0
235,2,268.00732,11,2
236,1,268.00732,10,0
237,2,268.00732,20,0
238,1,268.00732,10,0
239,2,268.00732,11,1
240,2,268.00732,18,1
241,2,268.00732,16,0
242,1,268.00732,11,0
243,2,268.00732,17,1
244,1,268.00732,11,2
245,2,268.00732,18,2
246,1,268.00732,10,0
247,2,268.00732,10,0
248,1,268.00732,10,0
249,2,268.00732,12,1
250,2,268.00732,10,2
251,2,268.00732,19,0
252,2,268.00732,15,1
253,1,268.00732,11,0
254,2,268.00732,11,0
255,2,268.00732,12,1
256,1,268.00732,24,0
257,2,268.00732,10,2
258,2,268.00732,11,2
259,2,268.00732,11,1
260,2,268.00732,12,0
261,2,268.00732,10,0
262,2,268.00732,11,2
263,2,268.00732,25,2
264,2,268.00732,12,1
265,2,268.00732,10,2
266,2,268.00732,12,2
267,1,268.00732,16,0
268,1,268.00732,11,2
269,2,268.00732,14,0
270,1,268.00732,15,0
271,2,268.00732,29,2
272,2,268.00732,15,2
273,2,268.00732,11,0
274,2,268.00732,13,1
275,2,268.00732,10,2
276,2,268.00732,10,2
277,2,268.00732,11,2
278,2,268.00732,35,1
279,1,268.00732,16,2
280,2,268.00732,14,0
281,2,268.00732,15,0
282,2,268.00732,11,2
283,2,268.00732,11,0
284,1,268.00732,12,1
285,2,268.00732,11,2
286,2,268.00732,15,0
287,2,268.00732,10,1
288,1,268.00732,10,0
289,2,268.00732,14,2
290,2,268.00732,17,0
291,1,268.00732,15,0
292,1,268.00732,13,0
293,2,268.00732,10,0
294,2,268.00732,17,0
295,2,268.00732,16,0
296,2,268.00732,12,2
297,2,268.00732,11,2
298,2,268.00732,10,0
299,1,268.00732,10,0
300,2,268.00732,12,1
301,1,268.00732,10,2
302,1,268.00732,10,0
303,1,268.00732,11,2
304,2,268.00732,10,0
305,2,268.00732,10,1
306,1,268.00732,10,1
307,2,268.00732,17,0
308,2,268.00732,14,0
309,2,268.00732,18,2
310,2,268.00732,13,2
311,2,268.00732,20,2
312,2,268.00732,15,0
313,2,268.00732,13,1
314,2,268.00732,11,2
315,2,268.00732,12,2
316,1,268.00732,10,1
317,1,268.00732,15,0
318,1,268.00732,10,1
319,2,268.00732,10,1
320,2,268.00732,12,2
321,1,268.00732,10,1
322,2,268.00732,10,2
323,2,268.00732,12,2
324,2,268.00732,12,2
325,2,268.00732,12,2
326,2,268.00732,13,1
327,2,268.00732,21,0
328,2,268.00732,17,2
329,1,268.00732,10,2
330,2,268.00732,14,2
331,1,268.00732,13,0
332,2,268.00732,13,1
333,1,268.00732,16,0
334,2,268.00732,18,2
335,1,268.00732,11,1
336,2,268.00732,13,0
337,2,268.00732,10,2
338,2,268.00732,30,2
339,2,268.00732,11,2
340,1,268.00732,21,0
341,2,268.00732,18,2
342,2,268.00732,13,0
343,2,268.00732,13,0
344,0,268.00732,11,2
345,2,268.00732,10,1
346,2,268.00732,15,0
347,2,268.00732,11,0
348,2,268.00732,11,0
349,2,268.00732,15,1
350,1,268.00732,12,0
351,2,268.00732,10,2
352,2,268.00732,11,1
353,2,268.00732,12,0
354,2,268.00732,16,1
355,2,268.00732,14,0
356,2,268.00732,10,1
357,2,268.00732,10,2
358,1,268.00732,14,0
359,2,268.00732,10,1
360,2,268.00732,10,2
361,1,268.00732,12,0
362,1,268.00732,13,0
363,2,268.00732,10,2
364,1,268.00732,13,0
365,2,268.00732,10,2
366,2,268.00732,12,2
367,2,268.00732,13,0
368,2,268.00732,11,1
369,2,268.00732,10,0
370,2,268.00732,10,2
371,1,268.00732,12,1
372,2,268.00732,14,2
373,2,268.00732,11,2
374,2,268.00732,12,1
375,2,268.00732,16,2
376,2,268.00732,11,2
377,1,268.00732,10,0
378,1,268.00732,13,0
379,1,268.00732,12,0
380,2,268.00732,16,2
381,2,268.00732,16,0
382,2,268.00732,10,0
383,2,268.00732,10,0
384,2,268.00732,13,1
385,1,268.00732,28,0
386,2,268.00732,10,0
387,2,268.00732,10,1
388,2,268.00732,10,0
389,2,268.00732,10,0
390,2,268.00732,10,2
391,2,268.00732,10,0
392,2,268.00732,19,0
393,1,268.00732,12,1
394,2,268.00732,10,2
