,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,2,242.24381,11,2,0,2311.53284,-1,2747.96659,2,2761.75675,-1,2327.30351
1,2,242.24381,14,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
2,2,242.24381,21,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
3,2,242.24381,12,1,0,2311.53284,-1,2747.96659,1,2761.75675,-1,2327.30351
4,1,242.24381,18,2,0,2311.53284,-1,2747.96659,2,2761.75675,-1,2327.30351
5,2,242.24381,50,2,0,2311.53284,-1,2747.96659,1,2761.75675,-1,2327.30351
6,2,242.24381,59,2,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
7,2,242.24381,11,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
8,1,242.24381,14,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
9,2,242.24381,10,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
10,1,242.24381,10,1,0,2311.53284,-1,2747.96659,2,2761.75675,-1,2327.30351
11,2,242.24381,12,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
12,2,242.24381,14,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
13,1,242.24381,12,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
14,2,242.24381,20,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
15,2,242.24381,22,1,0,2311.53284,-1,2747.96659,1,2761.75675,-1,2327.30351
16,2,242.24381,16,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
17,2,242.24381,11,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
18,1,242.24381,15,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
19,2,242.24381,10,2,0,2311.53284,-1,2747.96659,1,2761.75675,-1,2327.30351
20,2,242.24381,12,2,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
21,2,242.24381,10,2,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
22,2,242.24381,13,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
23,2,242.24381,32,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
24,1,242.24381,14,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
25,1,242.24381,12,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
26,2,242.24381,11,2,0,2311.53284,-1,2747.96659,1,2761.75675,-1,2327.30351
27,2,242.24381,20,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
28,2,242.24381,26,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
29,2,242.24381,13,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
30,2,242.24381,10,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
31,1,242.24381,12,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
32,1,242.24381,10,2,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
33,2,242.24381,19,2,0,2311.53284,-1,2747.96659,1,2761.75675,-1,2327.30351
34,2,242.24381,10,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
35,1,242.24381,11,2,0,2311.53284,-1,2747.96659,1,2761.75675,-1,2327.30351
36,1,242.24381,20,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
37,2,242.24381,23,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
38,1,242.24381,17,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
39,2,242.24381,13,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
40,2,242.24381,10,2,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
41,2,242.24381,16,2,0,2311.53284,-1,2747.96659,2,2761.75675,-1,2327.30351
42,2,242.24381,10,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
43,1,242.24381,16,0,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
44,2,242.24381,13,1,0,2311.53284,-1,2747.96659,0,2761.75675,-1,2327.30351
45,2,242.24381,10,2,0,2311.53284,-1,2747.96659,1,2761.75675,-1,2327.30351
