,cluster_id,time,seqlength,coh_cluster
0,2,313.77026,11,0
1,2,313.77026,14,2
2,2,313.77026,21,2
3,2,313.77026,12,1
4,1,313.77026,18,0
5,2,313.77026,50,1
6,2,313.77026,59,0
7,2,313.77026,11,2
8,1,313.77026,14,2
9,2,313.77026,10,2
10,1,313.77026,10,2
11,2,313.77026,12,2
12,2,313.77026,14,2
13,1,313.77026,12,2
14,2,313.77026,20,2
15,2,313.77026,22,2
16,2,313.77026,16,2
17,2,313.77026,11,2
18,1,313.77026,15,1
19,2,313.77026,10,1
20,2,313.77026,12,0
21,2,313.77026,10,0
22,2,313.77026,13,2
23,2,313.77026,32,2
24,1,313.77026,14,2
25,1,313.77026,12,2
26,2,313.77026,11,0
27,2,313.77026,20,2
28,2,313.77026,26,2
29,2,313.77026,13,2
30,2,313.77026,10,2
31,1,313.77026,12,2
32,1,313.77026,10,0
33,2,313.77026,19,0
34,2,313.77026,10,2
35,1,313.77026,11,1
36,1,313.77026,20,2
37,2,313.77026,23,2
38,1,313.77026,17,2
39,2,313.77026,13,2
40,2,313.77026,10,0
41,2,313.77026,16,0
42,2,313.77026,10,2
43,1,313.77026,16,2
44,2,313.77026,13,2
45,2,313.77026,10,1
46,1,313.77026,17,2
47,2,313.77026,13,2
48,2,313.77026,13,2
49,2,313.77026,11,0
50,2,313.77026,12,0
51,2,313.77026,11,0
52,2,313.77026,14,2
53,1,313.77026,12,1
54,2,313.77026,32,1
55,2,313.77026,16,0
56,2,313.77026,14,2
57,2,313.77026,10,2
58,2,313.77026,24,1
59,2,313.77026,14,1
60,2,313.77026,11,0
61,2,313.77026,20,0
62,2,313.77026,10,0
63,2,313.77026,13,1
64,1,313.77026,12,0
65,1,313.77026,18,2
66,1,313.77026,10,2
67,1,313.77026,11,2
68,2,313.77026,16,1
69,1,313.77026,13,0
70,2,313.77026,14,2
71,2,313.77026,10,2
72,2,313.77026,10,2
73,2,313.77026,11,0
74,2,313.77026,16,2
75,2,313.77026,19,2
76,2,313.77026,18,2
77,2,313.77026,12,0
78,1,313.77026,13,1
79,2,313.77026,10,1
80,2,313.77026,15,2
81,2,313.77026,10,2
82,2,313.77026,10,2
83,1,313.77026,12,2
84,2,313.77026,11,0
85,2,313.77026,12,2
86,1,313.77026,10,0
87,1,313.77026,10,0
88,2,313.77026,13,0
89,1,313.77026,15,2
90,2,313.77026,10,2
91,1,313.77026,24,2
92,1,313.77026,10,2
93,1,313.77026,13,2
94,2,313.77026,10,2
95,2,313.77026,10,1
96,2,313.77026,34,2
97,2,313.77026,10,2
98,2,313.77026,13,2
99,2,313.77026,14,0
100,2,313.77026,10,2
101,2,313.77026,12,2
102,2,313.77026,13,2
103,2,313.77026,17,2
104,1,313.77026,11,2
105,2,313.77026,12,1
106,2,313.77026,33,0
107,1,313.77026,17,2
108,1,313.77026,12,2
109,2,313.77026,19,0
110,2,313.77026,10,2
111,2,313.77026,18,1
112,2,313.77026,11,2
113,2,313.77026,12,2
114,2,313.77026,34,0
115,2,313.77026,12,2
116,2,313.77026,11,0
117,2,313.77026,10,2
118,2,313.77026,10,0
119,2,313.77026,26,2
120,1,313.77026,15,2
121,2,313.77026,12,2
122,2,313.77026,12,1
