,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,0,11.44748,302,1,0,209.7732,24,206.09877,1,211.58303,-1,207.34209
1,0,11.44748,305,1,2,209.7732,43,206.09877,1,211.58303,-1,207.34209
2,0,11.44748,271,1,0,209.7732,68,206.09877,1,211.58303,-1,207.34209
3,0,11.44748,232,1,0,209.7732,62,206.09877,2,211.58303,-1,207.34209
4,0,11.44748,193,1,0,209.7732,19,206.09877,2,211.58303,-1,207.34209
5,0,11.44748,377,1,0,209.7732,6,206.09877,1,211.58303,-1,207.34209
6,0,11.44748,247,1,0,209.7732,38,206.09877,2,211.58303,-1,207.34209
7,0,11.44748,399,1,0,209.7732,66,206.09877,1,211.58303,-1,207.34209
8,0,11.44748,167,1,1,209.7732,65,206.09877,2,211.58303,-1,207.34209
9,0,11.44748,306,1,0,209.7732,57,206.09877,1,211.58303,-1,207.34209
10,0,11.44748,327,1,1,209.7732,3,206.09877,1,211.58303,-1,207.34209
11,0,11.44748,351,1,0,209.7732,28,206.09877,1,211.58303,-1,207.34209
12,0,11.44748,528,1,0,209.7732,10,206.09877,1,211.58303,-1,207.34209
13,0,11.44748,176,1,1,209.7732,46,206.09877,2,211.58303,-1,207.34209
14,0,11.44748,230,1,1,209.7732,40,206.09877,2,211.58303,-1,207.34209
15,0,11.44748,494,1,0,209.7732,17,206.09877,1,211.58303,-1,207.34209
16,0,11.44748,275,1,0,209.7732,30,206.09877,1,211.58303,-1,207.34209
17,0,11.44748,312,1,0,209.7732,54,206.09877,1,211.58303,-1,207.34209
18,0,11.44748,307,1,1,209.7732,33,206.09877,1,211.58303,-1,207.34209
19,0,11.44748,200,1,1,209.7732,59,206.09877,2,211.58303,-1,207.34209
20,0,11.44748,239,1,1,209.7732,30,206.09877,2,211.58303,-1,207.34209
21,0,11.44748,365,1,0,209.7732,17,206.09877,1,211.58303,-1,207.34209
22,0,11.44748,374,1,0,209.7732,5,206.09877,1,211.58303,-1,207.34209
23,0,11.44748,238,1,0,209.7732,50,206.09877,1,211.58303,-1,207.34209
24,0,11.44748,295,1,1,209.7732,8,206.09877,1,211.58303,-1,207.34209
25,0,11.44748,434,1,1,209.7732,31,206.09877,1,211.58303,-1,207.34209
26,0,11.44748,353,1,1,209.7732,12,206.09877,1,211.58303,-1,207.34209
27,0,11.44748,284,1,2,209.7732,18,206.09877,1,211.58303,-1,207.34209
28,0,11.44748,254,1,1,209.7732,37,206.09877,1,211.58303,-1,207.34209
29,0,11.44748,270,1,2,209.7732,52,206.09877,1,211.58303,-1,207.34209
30,0,11.44748,338,1,1,209.7732,38,206.09877,1,211.58303,-1,207.34209
