,cluster_id,seqlength,zhu_cluster
0,0,59,1.0
1,0,48,1.0
2,0,55,1.0
3,0,43,1.0
4,0,50,1.0
5,0,53,1.0
6,0,44,1.0
7,0,62,1.0
8,0,68,1.0
9,0,50,1.0
10,0,49,1.0
11,0,53,1.0
12,0,55,1.0
13,0,46,1.0
14,0,54,1.0
15,0,49,1.0
16,0,58,1.0
17,0,70,1.0
18,0,52,1.0
19,0,61,1.0
20,0,50,1.0
21,0,49,1.0
22,0,59,1.0
23,0,49,1.0
24,0,50,1.0
25,0,51,1.0
26,0,59,1.0
27,0,42,1.0
28,0,59,1.0
29,0,57,1.0
30,0,60,1.0
31,0,63,1.0
32,0,54,1.0
33,0,60,1.0
34,0,54,1.0
35,0,42,1.0
36,0,52,1.0
37,0,51,1.0
38,0,50,1.0
39,0,57,1.0
40,0,46,1.0
41,0,40,1.0
42,0,48,1.0
43,0,58,1.0
44,0,41,1.0
45,0,54,1.0
46,0,63,1.0
47,0,68,1.0
48,0,53,1.0
49,0,53,1.0
50,0,52,1.0
51,0,39,1.0
52,0,58,1.0
53,0,48,1.0
54,0,56,1.0
55,0,47,1.0
56,0,57,1.0
57,0,55,1.0
58,0,51,1.0
59,0,45,1.0
60,0,55,1.0
61,0,50,1.0
62,0,58,1.0
63,0,58,1.0
64,0,48,1.0
65,0,53,1.0
66,0,54,1.0
67,0,49,1.0
68,0,56,1.0
69,0,47,1.0
70,0,46,1.0
71,0,50,1.0
72,0,52,1.0
73,0,63,1.0
74,0,49,1.0
75,0,65,1.0
76,0,61,1.0
77,0,46,1.0
78,0,47,1.0
79,0,62,1.0
80,0,40,1.0
81,0,52,1.0
82,0,46,1.0
83,0,44,1.0
84,0,58,1.0
85,0,50,1.0
86,0,47,1.0
87,0,48,1.0
88,0,56,1.0
89,0,56,1.0
90,0,54,1.0
91,0,45,1.0
92,0,46,1.0
93,0,55,1.0
94,0,56,1.0
95,0,61,1.0
96,0,59,1.0
97,0,47,1.0
98,0,52,1.0
99,0,63,1.0
100,0,48,1.0
101,0,53,1.0
102,0,57,1.0
103,0,53,1.0
104,0,48,1.0
105,0,55,1.0
106,0,57,1.0
107,0,54,1.0
108,0,53,1.0
109,0,49,1.0
110,0,48,1.0
111,0,46,1.0
112,0,58,1.0
113,0,58,1.0
114,0,53,1.0
115,0,48,1.0
116,0,56,1.0
117,0,42,1.0
118,0,63,1.0
119,0,48,1.0
120,0,60,1.0
121,0,59,1.0
122,0,59,1.0
123,0,53,1.0
124,0,57,1.0
125,0,53,1.0
126,0,50,1.0
127,0,44,1.0
128,0,59,1.0
129,0,50,1.0
130,0,47,1.0
131,0,44,1.0
132,0,56,1.0
133,0,53,1.0
134,0,42,1.0
135,0,45,1.0
136,0,46,1.0
137,0,52,1.0
138,0,54,1.0
139,0,38,1.0
140,0,58,1.0
141,0,57,1.0
142,0,57,1.0
143,0,56,1.0
144,0,44,1.0
145,0,65,1.0
146,0,66,1.0
147,0,61,1.0
148,0,57,1.0
149,0,51,1.0
150,0,61,1.0
151,0,42,1.0
152,0,51,1.0
153,0,55,1.0
154,0,42,1.0
155,0,50,1.0
156,0,49,1.0
157,0,52,1.0
158,0,65,1.0
159,0,50,1.0
160,0,46,1.0
161,0,72,1.0
162,0,54,1.0
163,0,66,1.0
164,0,69,1.0
165,0,68,1.0
166,0,49,1.0
167,0,55,1.0
168,0,49,1.0
169,0,50,1.0
170,0,55,1.0
171,0,54,1.0
